"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "Markdown", "JSON with Comments", "HTML", "comment", "blank", "total"
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/Menus.jsx", "JavaScript JSX", 0, 124, 0, 0, 0, 0, 0, 22, 146
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/Modal-v1.jsx", "JavaScript JSX", 0, 63, 0, 0, 0, 0, 0, 7, 70
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/Modal.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 0, 2, 16, 103
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/Pagination.jsx", "JavaScript JSX", 0, 98, 0, 0, 0, 0, 0, 16, 114
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/ProtectedRoute.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 0, 4, 8, 42
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/Row.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 0, 0, 4, 26
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/Select.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 4, 30
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/Sidebar.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 4, 28
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/SortBy.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 5, 24
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/Spinner.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 4, 23
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/SpinnerMini.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 4, 17
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/Table.jsx", "JavaScript JSX", 0, 87, 0, 0, 0, 0, 0, 15, 102
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/TableOperations.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 3, 10
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/Tag.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 3, 17
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/ui/Textarea.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 3, 14
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/utils/constants.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/utils/helpers.js", "JavaScript", 21, 0, 0, 0, 0, 0, 4, 6, 31
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/vercel.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 1, 9
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/vite.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 1359, 3612, 44, 28, 3, 23, 148, 779, 5996
